Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-11 00:00:00+05:30,8997.977213719201,8997.977213719201,8618.971130279848,8683.0419921875,117953,0.0,0.0
2024-11-12 00:00:00+05:30,8767.590477955982,9021.04009582263,8523.882985409813,8905.4248046875,214438,0.0,0.0
2024-11-13 00:00:00+05:30,8748.205488022542,8748.404505037484,8613.155454127078,8686.4208984375,112882,0.0,0.0
2024-11-14 00:00:00+05:30,8686.42087939222,8991.46542189401,8574.235473722785,8906.6171875,96755,0.0,0.0
2024-11-18 00:00:00+05:30,8847.61735483803,8847.61735483803,8641.338635610065,8769.1318359375,59090,0.0,0.0
2024-11-19 00:00:00+05:30,8827.73437145062,9631.972784345166,8778.028659899659,9423.5068359375,519174,0.0,0.0
2024-11-21 00:00:00+05:30,9510.193801546178,9534.549600233044,9177.364550796383,9398.107421875,210631,0.0,0.0
2024-11-22 00:00:00+05:30,9404.122505357338,9519.986335870286,9222.59761778604,9250.6318359375,70411,0.0,0.0
2024-11-25 00:00:00+05:30,9355.65934319468,9523.615151113438,9355.609831641814,9505.6220703125,74028,0.0,0.0
2024-11-26 00:00:00+05:30,9473.90882210651,9801.966525285436,9473.90882210651,9670.2958984375,89232,0.0,0.0
2024-11-27 00:00:00+05:30,9741.127157451243,9931.202008677164,9670.793569652053,9800.376953125,89034,0.0,0.0
2024-11-28 00:00:00+05:30,9800.376866353601,9876.227593767531,9652.849914960741,9837.8046875,49923,0.0,0.0
2024-11-29 00:00:00+05:30,9811.758060841943,10116.603581407651,9742.319569379943,10041.8955078125,75855,0.0,0.0
2024-12-02 00:00:00+05:30,9969.971938992066,10149.906620511418,9864.098770031787,10086.630859375,45892,0.0,0.0
2024-12-03 00:00:00+05:30,10080.41815935541,10438.200289016262,10047.513363913082,10135.5419921875,107371,0.0,0.0
2024-12-04 00:00:00+05:30,10150.155814867137,10417.274528895405,10045.525281871887,10078.3310546875,87878,0.0,0.0
2024-12-05 00:00:00+05:30,10060.436778290376,10085.240124391898,9792.02591562848,9992.6875,83869,0.0,0.0
2024-12-06 00:00:00+05:30,9991.842335051097,10090.110140419358,9881.495653209422,9945.9140625,39569,0.0,0.0
2024-12-09 00:00:00+05:30,9941.142906064828,10173.765650066745,9896.407762987537,10148.86328125,64929,0.0,0.0
2024-12-10 00:00:00+05:30,10190.36734121582,10307.52331960442,9710.508188944414,9872.0517578125,130698,0.0,0.0
2024-12-11 00:00:00+05:30,9951.084135831916,10239.37728262425,9920.46560957692,10163.228515625,88151,0.0,0.0
2024-12-12 00:00:00+05:30,10051.489721176085,10249.318467542818,9904.857861431898,9939.900390625,69738,0.0,0.0
2024-12-13 00:00:00+05:30,9896.407173775338,10014.4087272077,9764.339486457207,9894.4189453125,65114,0.0,0.0
2024-12-16 00:00:00+05:30,9904.36066290797,10015.701463293966,9797.145825147882,9834.9716796875,42548,0.0,0.0
2024-12-17 00:00:00+05:30,9890.989988254425,9890.989988254425,9786.70797804959,9822.49609375,41016,0.0,0.0
2024-12-18 00:00:00+05:30,9834.772203185517,10067.84248155313,9827.465851827434,9957.4462890625,77510,0.0,0.0
2024-12-19 00:00:00+05:30,9826.820002447856,9957.44701174712,9727.408570961283,9859.4267578125,40527,0.0,0.0
2024-12-20 00:00:00+05:30,9803.010623669868,10051.340181642305,9803.010623669868,9868.4736328125,65585,0.0,0.0
2024-12-23 00:00:00+05:30,10027.630629362471,10125.053827704647,9733.37280579835,10103.630859375,72002,0.0,0.0
2024-12-24 00:00:00+05:30,10103.183588237394,10103.183588237394,9875.82945462449,9926.0322265625,51851,0.0,0.0
2024-12-26 00:00:00+05:30,9980.90725872898,10127.042056242242,9918.32757134522,10103.630859375,32823,0.0,0.0
2024-12-27 00:00:00+05:30,10095.230283967472,10269.200279013687,9954.51360499446,9988.810546875,50785,0.0,0.0
2024-12-30 00:00:00+05:30,9941.142783988242,10184.551276728303,9883.48415584111,9934.0849609375,73357,0.0,0.0
2024-12-31 00:00:00+05:30,9941.142741723743,10323.876737280107,9817.773548624838,10256.873046875,71518,0.0,0.0
2025-01-01 00:00:00+05:30,10257.270688362885,10447.89209314032,10239.923200779524,10345.05078125,55008,0.0,0.0
2025-01-02 00:00:00+05:30,10425.375374837982,10503.860890634342,10279.191065565921,10457.9326171875,60707,0.0,0.0
2025-01-03 00:00:00+05:30,10438.1995853754,11094.31498788471,10429.451574171548,10886.2470703125,269128,0.0,0.0
2025-01-06 00:00:00+05:30,10896.983498820244,11183.58644681028,10652.232372995619,11088.5,165427,0.0,0.0
2025-01-07 00:00:00+05:30,11113.352776705942,11680.84251159218,11029.697673711935,11597.3369140625,162658,0.0,0.0
2025-01-08 00:00:00+05:30,11644.855506555474,11710.567042092629,10652.480939528365,10721.671875,123293,0.0,0.0
2025-01-09 00:00:00+05:30,10770.084656644984,10811.191864812556,10322.336165235358,10452.515625,109708,0.0,0.0
2025-01-10 00:00:00+05:30,10535.623580536985,10694.632360443182,10240.47065012187,10533.734375,83731,0.0,0.0
2025-01-13 00:00:00+05:30,10438.249362305134,10507.787849759534,9802.96083126573,10170.9326171875,141855,0.0,0.0
2025-01-14 00:00:00+05:30,10181.768296440589,10532.641137071632,10000.78998007934,10286.2998046875,121656,0.0,0.0
2025-01-15 00:00:00+05:30,10289.779114571358,10610.181960400643,10105.07287115889,10242.4091796875,85420,0.0,0.0
2025-01-16 00:00:00+05:30,10267.758771512234,10375.371641473102,9941.19223310904,9983.392578125,55123,0.0,0.0
2025-01-17 00:00:00+05:30,10067.793345247012,10086.731028113643,9831.790226904228,10019.5283203125,40798,0.0,0.0
2025-01-20 00:00:00+05:30,10118.094700560787,10118.094700560787,9910.175319640859,10043.5361328125,34449,0.0,0.0
2025-01-21 00:00:00+05:30,10090.260304964419,10165.21691269863,9921.260871285212,10110.6396484375,72084,0.0,0.0
2025-01-22 00:00:00+05:30,10072.366305590773,10112.578424059011,9777.114352100794,9839.64453125,99221,0.0,0.0
2025-01-23 00:00:00+05:30,9839.743628252469,9839.743628252469,9564.373959124774,9643.20703125,188664,0.0,0.0
2025-01-24 00:00:00+05:30,9725.122377160844,9730.738540594268,9215.439769837614,9256.89453125,195857,0.0,0.0
2025-01-27 00:00:00+05:30,9245.26241672369,9245.26241672369,8662.910490056871,8911.041015625,121198,0.0,0.0
2025-01-28 00:00:00+05:30,8712.218805018765,8837.57720213105,7128.843236093565,7131.47802734375,848938,0.0,0.0
2025-01-29 00:00:00+05:30,7127.848849682191,7306.739907289592,6650.62448704318,7239.14013671875,1017235,0.0,0.0
2025-01-30 00:00:00+05:30,7297.991796604613,7600.997628762195,7049.2642146943135,7386.41796875,221625,0.0,0.0
2025-01-31 00:00:00+05:30,7386.417939940557,7574.1565142118025,7185.905385809391,7447.8544921875,121598,0.0,0.0
2025-02-01 00:00:00+05:30,7450.140796465758,7749.120660299642,7286.85752918491,7357.1416015625,101257,0.0,0.0
2025-02-03 00:00:00+05:30,7326.671750281911,7584.79391123826,7064.375086004118,7196.59228515625,182551,0.0,0.0
2025-02-04 00:00:00+05:30,7246.098736812306,7276.270201250375,6899.152865067555,7091.81201171875,220887,0.0,0.0
2025-02-05 00:00:00+05:30,7096.882205142492,7311.710394158378,7096.882205142492,7261.8056640625,59398,0.0,0.0
2025-02-06 00:00:00+05:30,7277.761554759024,7424.194392650541,7165.57566224411,7253.1572265625,69085,0.0,0.0
2025-02-07 00:00:00+05:30,7209.36619013941,7288.796308556202,7035.3466815187085,7061.2431640625,119776,0.0,0.0
2025-02-10 00:00:00+05:30,7079.634573341388,7083.5615190305725,6621.646401766731,6688.60009765625,206821,0.0,0.0
2025-02-11 00:00:00+05:30,6701.1253128568915,6740.094786612048,6436.492384013384,6639.24169921875,298478,0.0,0.0
2025-02-12 00:00:00+05:30,6690.389341225411,6814.6536306241005,6205.858121083519,6734.13037109375,289589,0.0,0.0
2025-02-13 00:00:00+05:30,6610.859864712277,6919.03528697706,6583.571233964921,6706.6923828125,134045,0.0,0.0
2025-02-14 00:00:00+05:30,6739.44861057802,6760.026484530769,6267.89041391811,6329.87353515625,105848,0.0,0.0
2025-02-17 00:00:00+05:30,6014.391494815807,6498.525157291063,6014.391494815807,6434.40478515625,193495,0.0,0.0
2025-02-18 00:00:00+05:30,6372.272328349202,6461.693099101067,6001.56722242889,6124.34033203125,197887,0.0,0.0
2025-02-19 00:00:00+05:30,5995.502994025761,6509.46005718466,5927.704208552501,6325.39990234375,132995,0.0,0.0
2025-02-20 00:00:00+05:30,6262.870459335811,6401.598913099416,6156.798271380225,6338.47265625,172497,0.0,0.0
2025-02-21 00:00:00+05:30,6360.293417019459,6585.36078461882,6213.363040616807,6395.58447265625,193253,0.0,0.0
2025-02-24 00:00:00+05:30,6375.702387282892,6481.625069056758,6203.571112345473,6410.5458984375,141914,0.0,0.0
2025-02-25 00:00:00+05:30,6402.145468174299,6517.363701433829,6238.0671005917975,6304.82177734375,172546,0.0,0.0
2025-02-27 00:00:00+05:30,6295.228630155695,6310.48838131895,5742.998151821469,5850.064453125,216309,0.0,0.0
2025-02-28 00:00:00+05:30,5741.606335633824,5848.374108560756,5562.715282923289,5763.27783203125,215866,0.0,0.0
2025-03-03 00:00:00+05:30,5814.574441354893,5835.1028042176795,5444.16736242202,5775.10791015625,196772,0.0,0.0
2025-03-04 00:00:00+05:30,5575.042176365526,5906.23172415709,5575.042176365526,5732.7587890625,139377,0.0,0.0
2025-03-05 00:00:00+05:30,5686.3337309903645,5884.560023062646,5618.882979425028,5765.216796875,218017,0.0,0.0
2025-03-06 00:00:00+05:30,5805.6275722534765,5905.039003285215,5616.745853293175,5688.86865234375,230094,0.0,0.0
2025-03-07 00:00:00+05:30,5665.506647491561,6180.756356802058,5616.745537475182,6070.658203125,333555,0.0,0.0
2025-03-10 00:00:00+05:30,6213.214183406348,6344.9838356450855,5618.087773144425,5657.90185546875,303111,0.0,0.0
2025-03-11 00:00:00+05:30,5659.49237414221,5666.94823094988,5429.851984465967,5464.14892578125,226166,0.0,0.0
2025-03-12 00:00:00+05:30,5476.575719492604,5594.825810521345,5331.037481970027,5500.08642578125,187029,0.0,0.0
2025-03-13 00:00:00+05:30,5500.086447767928,5629.321308247159,5429.852368750498,5449.287109375,103085,0.0,0.0
2025-03-17 00:00:00+05:30,5447.7464181989,5469.219384374006,5248.923556220838,5290.27880859375,227461,0.0,0.0
2025-03-18 00:00:00+05:30,5290.27880859375,5290.27880859375,5290.27880859375,5290.27880859375,0,0.0,0.0
2025-03-19 00:00:00+05:30,5715.212635195575,5895.097812350919,5621.020305057253,5768.19921875,225161,0.0,0.0
2025-03-20 00:00:00+05:30,5790.715908966678,5924.8718304970225,5596.863616735176,5683.3515625,254240,0.0,0.0
2025-03-21 00:00:00+05:30,5726.098374147535,5992.968552431995,5690.210750797531,5893.30859375,491761,0.0,0.0
2025-03-24 00:00:00+05:30,5939.882134092047,6164.204402129515,5915.973880627847,6109.3291015625,186009,0.0,0.0
2025-03-25 00:00:00+05:30,6163.508668107702,6205.211957210509,5836.24604595426,5886.05126953125,185250,0.0,0.0
2025-03-26 00:00:00+05:30,5900.068436966977,5916.670340126954,5736.0395756191165,5755.4248046875,136471,0.0,0.0
2025-03-27 00:00:00+05:30,5736.0391781599565,5785.744890275728,5631.557674211137,5674.205078125,250353,0.0,0.0
2025-03-28 00:00:00+05:30,5681.363265301806,5779.731070156202,5432.983708581545,5507.34375,325961,0.0,0.0
2025-04-01 00:00:00+05:30,5502.42275996416,5543.429975654949,5408.081408098825,5451.02685546875,93647,0.0,0.0
2025-04-02 00:00:00+05:30,5507.393329395517,5514.551146658046,5309.614091390824,5443.521484375,123186,0.0,0.0
2025-04-03 00:00:00+05:30,5368.216929314922,5459.973480073421,5308.619586094126,5336.4052734375,131706,0.0,0.0
2025-04-04 00:00:00+05:30,5318.511638799191,5346.4958599667225,5010.3361980463405,5086.5849609375,244110,0.0,0.0
2025-04-07 00:00:00+05:30,4376.140394966708,4995.424054787308,4282.693656429393,4945.072265625,179106,0.0,0.0
2025-04-08 00:00:00+05:30,5069.08809020726,5129.132494073957,4867.282896623189,4914.65234375,108746,0.0,0.0
2025-04-09 00:00:00+05:30,4907.096862454628,4915.248793308749,4712.101453197552,4788.9462890625,83742,0.0,0.0
2025-04-11 00:00:00+05:30,4958.691590532051,5087.3798795474495,4926.830421697539,4998.80419921875,243985,0.0,0.0
2025-04-15 00:00:00+05:30,5045.129870161225,5062.526869713505,4981.009500382822,5026.24169921875,114591,0.0,0.0
2025-04-16 00:00:00+05:30,5045.129737857822,5045.129737857822,4935.77717211115,4966.09765625,82741,0.0,0.0
2025-04-17 00:00:00+05:30,4966.09764305321,4978.027013830237,4861.218591638513,4873.64501953125,81545,0.0,0.0
2025-04-21 00:00:00+05:30,4918.380173063671,5005.365168544838,4786.660037049333,4947.70654296875,185918,0.0,0.0
2025-04-22 00:00:00+05:30,4995.424050601269,5316.522949774246,4878.615627527508,5242.95849609375,266056,0.0,0.0
2025-04-23 00:00:00+05:30,5317.5173938541275,5370.20545178538,5159.453220060371,5310.55859375,158822,0.0,0.0
2025-04-24 00:00:00+05:30,5347.340695846912,5615.7515506300815,5290.676182059355,5471.60498046875,172593,0.0,0.0
2025-04-25 00:00:00+05:30,5471.6049395252285,5539.701766988433,5313.54077066903,5506.89599609375,186819,0.0,0.0
2025-04-28 00:00:00+05:30,5480.055116173116,5583.940061232543,5393.070114329098,5570.0224609375,92626,0.0,0.0
2025-04-29 00:00:00+05:30,5601.834145218538,5655.5163180387335,5527.275571857155,5571.0166015625,96346,0.0,0.0
2025-04-30 00:00:00+05:30,5567.040118017134,5614.757604742995,5482.540401940088,5570.0224609375,122564,0.0,0.0
2025-05-02 00:00:00+05:30,5570.022399885777,5598.354657318714,5427.864055573147,5493.97265625,43793,0.0,0.0
2025-05-05 00:00:00+05:30,5517.33417385979,5817.5566820590075,5460.172603590072,5763.87451171875,100476,0.0,0.0
2025-05-06 00:00:00+05:30,5773.815552052589,5814.57423621825,5528.269332810683,5557.595703125,108746,0.0,0.0
2025-05-07 00:00:00+05:30,5417.922922840727,5754.430612635513,5403.011208374192,5734.05126953125,85759,0.0,0.0
2025-05-08 00:00:00+05:30,5775.804154932588,6361.337484924893,5775.307097776397,5995.50341796875,761697,0.0,0.0
2025-05-09 00:00:00+05:30,5815.568393198816,6166.49072530124,5805.627250646339,6056.14404296875,171961,0.0,0.0
2025-05-12 00:00:00+05:30,6282.802220557892,6435.398761832518,6197.308392873085,6263.4169921875,207986,0.0,0.0
2025-05-13 00:00:00+05:30,6312.625819976531,6491.566394401062,6269.3818478239355,6472.67822265625,162571,0.0,0.0
2025-05-14 00:00:00+05:30,6550.715941334355,7043.796616180982,6442.854543711656,6886.7265625,364668,0.0,0.0
2025-05-15 00:00:00+05:30,7106.426129767583,8052.325893700416,7009.99704190475,7894.26171875,670949,0.0,0.0
2025-05-16 00:00:00+05:30,7903.208496805876,8349.56580687705,7657.6622705529135,8179.572265625,331664,0.0,0.0
2025-05-19 00:00:00+05:30,8151.736946847813,8151.736946847813,7744.150099505422,7769.9970703125,160266,0.0,0.0
2025-05-20 00:00:00+05:30,7843.56180391854,7901.717490297404,7318.172397914618,7393.22802734375,149991,0.0,0.0
2025-05-21 00:00:00+05:30,7445.916041958684,7622.868385812975,7309.722384048358,7446.91015625,82749,0.0,0.0
2025-05-22 00:00:00+05:30,7450.88675962639,7623.8626497097775,7381.298757868704,7600.00390625,55869,0.0,0.0
2025-05-23 00:00:00+05:30,7620.87985455104,7949.931671907731,7541.847771530324,7711.84130859375,109372,0.0,0.0
2025-05-26 00:00:00+05:30,7715.321047228111,7801.808990934958,7536.380474041529,7577.13916015625,75562,0.0,0.0
2025-05-27 00:00:00+05:30,7693.450183881379,7711.344240388663,7560.735931452363,7600.99755859375,30346,0.0,0.0
2025-05-28 00:00:00+05:30,7604.974218077282,7852.50867301862,7585.588989678261,7792.86181640625,78072,0.0,0.0
2025-05-29 00:00:00+05:30,7853.502675767824,8002.619815181138,7787.394077294589,7954.4052734375,63510,0.0,0.0
2025-05-30 00:00:00+05:30,8002.619850961687,8145.772305438517,7988.702251220884,8066.2431640625,73555,0.0,0.0
2025-06-02 00:00:00+05:30,8102.0313329905475,8131.854761210145,7957.884763262495,8013.05810546875,34817,0.0,0.0
2025-06-03 00:00:00+05:30,8084.634216120817,8191.50149902681,7833.620365574182,7916.62890625,52955,0.0,0.0
2025-06-04 00:00:00+05:30,7853.502677496933,7969.814046264925,7804.7910786111925,7899.23193359375,36461,0.0,0.0
2025-06-05 00:00:00+05:30,7968.323186933265,8070.219902878704,7883.326414120242,8003.1171875,37589,0.0,0.0
2025-06-06 00:00:00+05:30,8009.578874232149,8097.060932185784,7858.473501403146,8056.30224609375,58731,0.0,0.0
2025-06-09 00:00:00+05:30,8251.148361627322,8300.854074649173,8107.99590812439,8137.8193359375,60678,0.0,0.0
2025-06-10 00:00:00+05:30,8151.737161929206,8199.454647755134,7944.961390016856,8109.4873046875,47134,0.0,0.0
2025-06-11 00:00:00+05:30,8109.9841647115,8133.345849912618,7913.1495404637835,8083.64013671875,46314,0.0,0.0
2025-06-12 00:00:00+05:30,8181.063529573448,8199.454643893529,7878.852786151572,7943.47021484375,64376,0.0,0.0
2025-06-13 00:00:00+05:30,7739.676726087051,7903.208525129029,7639.768240958061,7849.029296875,91404,0.0,0.0
2025-06-16 00:00:00+05:30,7803.300248662741,7841.573649461966,7657.1654456111555,7690.96533203125,42777,0.0,0.0
2025-06-17 00:00:00+05:30,7754.091211414678,8015.543261235454,7738.185383288698,7934.52294921875,95361,0.0,0.0
2025-06-18 00:00:00+05:30,7983.234721045862,8007.590520892151,7759.061951032059,7922.59375,43265,0.0,0.0
2025-06-19 00:00:00+05:30,7920.108352638525,7932.037723823621,7598.512387773636,7715.81787109375,45387,0.0,0.0
2025-06-20 00:00:00+05:30,7665.11828247949,7951.920256994155,7606.465538991221,7872.39111328125,48502,0.0,0.0
2025-06-23 00:00:00+05:30,7772.979780235176,7883.326468508115,7749.618093979194,7802.30615234375,39402,0.0,0.0
2025-06-24 00:00:00+05:30,7868.4145262339125,7996.655268354465,7796.838298073604,7830.63818359375,47517,0.0,0.0
2025-06-25 00:00:00+05:30,7878.355723915161,8126.387238504036,7871.3969239066555,8035.42578125,74753,0.0,0.0
2025-06-26 00:00:00+05:30,8049.343276808623,8807.852467892355,8049.343276808623,8620.958984375,530230,0.0,0.0
2025-06-27 00:00:00+05:30,8748.20529153828,8969.89276653976,8350.559596468358,8388.3359375,343698,0.0,0.0
2025-06-30 00:00:00+05:30,8429.095248183368,8705.459026812332,8424.124676625293,8670.16796875,129626,0.0,0.0
2025-07-01 00:00:00+05:30,8797.911707959378,8827.238080319243,8644.818103097712,8708.9384765625,100132,0.0,0.0
2025-07-02 00:00:00+05:30,8787.472695849328,8842.646035361702,8582.685165407,8788.9638671875,82973,0.0,0.0
2025-07-03 00:00:00+05:30,8842.646193737915,8951.998760495775,8797.911052791518,8868.4931640625,81456,0.0,0.0
2025-07-04 00:00:00+05:30,8868.493154041538,8898.813638426504,8454.941629315468,8573.73828125,91487,0.0,0.0
2025-07-07 00:00:00+05:30,8599.088996980527,8648.794713726078,8420.148416696538,8493.2158203125,46853,0.0,0.0
2025-07-08 00:00:00+05:30,8545.90296407111,8598.093961059854,8400.762286730986,8569.2646484375,47116,0.0,0.0
2025-07-09 00:00:00+05:30,8539.44129936918,8828.23148533737,8535.961899538239,8756.158203125,69324,0.0,0.0
2025-07-10 00:00:00+05:30,8821.770215941011,8922.175759304775,8798.408530108849,8847.6171875,52812,0.0,0.0
2025-07-11 00:00:00+05:30,8847.11996819457,8911.240338771406,8539.44160085301,8620.4619140625,66804,0.0,0.0
2025-07-14 00:00:00+05:30,8619.964605422247,8747.708285712497,8612.011691474216,8684.58203125,29532,0.0,0.0
2025-07-15 00:00:00+05:30,8748.205557629555,9036.498695324166,8700.985129903715,8987.2900390625,75989,0.0,0.0
2025-07-16 00:00:00+05:30,9032.025434886154,9195.557236552411,8929.631662414273,8959.9521484375,99939,0.0,0.0
2025-07-17 00:00:00+05:30,9015.622410530363,9015.622410530363,8742.240983372369,8807.35546875,43948,0.0,0.0
2025-07-18 00:00:00+05:30,8850.599583046647,8942.058098338155,8708.441238626152,8849.60546875,52067,0.0,0.0
2025-07-21 00:00:00+05:30,8846.62274835784,9257.191935353208,8846.62274835784,9203.509765625,160740,0.0,0.0
2025-07-22 00:00:00+05:30,9275.086100756422,9314.850671392034,9057.872133659394,9133.921875,86182,0.0,0.0
2025-07-23 00:00:00+05:30,9194.563408251232,9219.416266420361,8978.343542179804,9081.234375,61373,0.0,0.0
2025-07-24 00:00:00+05:30,9116.02768735137,9147.839343403195,9021.58683344751,9092.1689453125,38576,0.0,0.0
2025-07-25 00:00:00+05:30,9120.998814729408,9120.998814729408,8797.414606097864,8928.6376953125,60660,0.0,0.0
2025-07-28 00:00:00+05:30,8887.38141950375,9046.439699942297,8553.359030582804,8614.0,70760,0.0,0.0
2025-07-29 00:00:00+05:30,8650.0,9855.0,8501.0,9681.5,1057407,51.0,0.0
2025-07-30 00:00:00+05:30,9710.0,9905.0,9425.0,9669.5,419566,0.0,0.0
2025-07-31 00:00:00+05:30,9405.0,9587.5,8830.0,8907.5,339981,0.0,0.0
2025-08-01 00:00:00+05:30,8900.0,8925.0,8684.5,8782.5,117069,0.0,0.0
2025-08-04 00:00:00+05:30,8819.5,9074.5,8646.0,8965.0,124957,0.0,0.0
2025-08-05 00:00:00+05:30,8962.5,9079.5,8880.0,8949.5,63694,0.0,0.0
2025-08-06 00:00:00+05:30,9027.0,9027.0,8830.0,8887.5,60665,0.0,0.0
2025-08-07 00:00:00+05:30,8858.0,8858.0,8468.0,8689.0,97741,0.0,0.0
2025-08-08 00:00:00+05:30,8700.0,8767.0,8560.0,8696.5,55841,0.0,0.0
2025-08-11 00:00:00+05:30,8699.0,8828.0,8630.0,8719.5,45807,0.0,0.0
2025-08-12 00:00:00+05:30,8750.0,8845.0,8605.0,8813.5,49543,0.0,0.0
2025-08-13 00:00:00+05:30,8840.0,8850.0,8715.5,8748.5,31794,0.0,0.0
2025-08-14 00:00:00+05:30,8779.5,8894.5,8525.0,8565.5,49467,0.0,0.0
2025-08-18 00:00:00+05:30,8629.5,8683.5,8428.0,8476.5,58260,0.0,0.0
2025-08-19 00:00:00+05:30,8499.0,8531.0,8384.5,8428.5,46335,0.0,0.0
2025-08-20 00:00:00+05:30,8429.0,8525.0,8330.0,8353.5,162796,0.0,0.0
2025-08-21 00:00:00+05:30,8393.0,8540.0,8198.5,8225.5,91706,0.0,0.0
2025-08-22 00:00:00+05:30,8277.5,8346.5,8173.0,8194.5,59959,0.0,0.0
2025-08-25 00:00:00+05:30,8250.0,8268.5,8059.5,8095.5,58903,0.0,0.0
2025-08-26 00:00:00+05:30,8050.0,8099.0,7851.0,7881.5,57333,0.0,0.0
2025-08-28 00:00:00+05:30,7830.5,7903.5,7702.5,7730.5,66842,0.0,0.0
2025-08-29 00:00:00+05:30,7775.5,7849.0,7692.5,7732.0,42811,0.0,0.0
2025-09-01 00:00:00+05:30,7798.0,7820.0,7701.5,7802.0,35707,0.0,0.0
2025-09-02 00:00:00+05:30,7857.0,7900.0,7774.5,7875.5,52512,0.0,0.0
2025-09-03 00:00:00+05:30,7929.0,7985.0,7840.0,7862.5,52992,0.0,0.0
2025-09-04 00:00:00+05:30,7909.5,8019.5,7860.0,7897.0,51277,0.0,0.0
2025-09-05 00:00:00+05:30,7926.0,7953.5,7751.0,7775.0,28857,0.0,0.0
2025-09-08 00:00:00+05:30,7775.0,7900.0,7710.5,7822.0,38176,0.0,0.0
2025-09-09 00:00:00+05:30,7876.5,7973.5,7793.5,7949.5,69763,0.0,0.0
2025-09-10 00:00:00+05:30,7981.5,8530.0,7981.5,8493.0,322369,0.0,0.0
2025-09-11 00:00:00+05:30,8468.0,8589.5,8385.0,8471.5,76037,0.0,0.0
2025-09-12 00:00:00+05:30,8484.0,8648.5,8423.0,8630.0,90541,0.0,0.0
2025-09-15 00:00:00+05:30,8640.0,8710.0,8535.5,8575.5,34311,0.0,0.0
2025-09-16 00:00:00+05:30,8590.0,8655.0,8548.5,8632.5,24287,0.0,0.0
2025-09-17 00:00:00+05:30,8725.0,8989.0,8660.0,8943.0,117420,0.0,0.0
2025-09-18 00:00:00+05:30,8944.5,8975.0,8850.0,8943.0,40116,0.0,0.0
2025-09-19 00:00:00+05:30,8942.0,8979.0,8705.5,8847.0,60133,0.0,0.0
2025-09-22 00:00:00+05:30,8800.0,8916.5,8700.0,8715.5,64446,0.0,0.0
2025-09-23 00:00:00+05:30,8725.0,8766.0,8655.0,8676.0,23495,0.0,0.0
2025-09-24 00:00:00+05:30,8680.0,8787.0,8610.0,8758.5,32160,0.0,0.0
2025-09-25 00:00:00+05:30,8754.0,8832.0,8676.5,8734.5,26158,0.0,0.0
2025-09-26 00:00:00+05:30,8630.0,8692.5,8273.5,8360.5,67095,0.0,0.0
2025-09-29 00:00:00+05:30,8350.5,8462.5,8256.5,8357.0,46858,0.0,0.0
2025-09-30 00:00:00+05:30,8370.0,8398.5,8054.5,8186.0,105547,0.0,0.0
2025-10-01 00:00:00+05:30,8154.5,8261.0,8110.0,8216.0,19321,0.0,0.0
2025-10-03 00:00:00+05:30,8253.5,8450.0,8204.5,8411.5,30592,0.0,0.0
2025-10-06 00:00:00+05:30,8413.5,8490.0,8325.0,8474.5,24426,0.0,0.0
2025-10-07 00:00:00+05:30,8481.0,8580.0,8424.0,8530.5,31560,0.0,0.0
2025-10-08 00:00:00+05:30,8530.0,8584.5,8380.5,8549.5,32728,0.0,0.0
2025-10-09 00:00:00+05:30,8505.5,8530.0,8326.0,8469.0,48957,0.0,0.0
2025-10-10 00:00:00+05:30,8437.0,8573.0,8364.0,8385.0,25839,0.0,0.0
2025-10-13 00:00:00+05:30,8365.0,8545.0,8261.5,8509.0,37305,0.0,0.0
2025-10-14 00:00:00+05:30,8509.0,8620.0,8353.0,8505.0,45305,0.0,0.0
2025-10-15 00:00:00+05:30,8505.0,8505.0,8312.0,8355.5,202851,0.0,0.0
2025-10-16 00:00:00+05:30,8355.5,8925.0,8335.0,8784.5,201729,0.0,0.0
2025-10-17 00:00:00+05:30,8824.0,8874.0,8660.0,8690.0,48719,0.0,0.0
2025-10-20 00:00:00+05:30,8690.0,8699.5,8531.5,8566.0,43984,0.0,0.0
2025-10-21 00:00:00+05:30,8638.5,8695.0,8500.0,8584.0,8604,0.0,0.0
2025-10-23 00:00:00+05:30,8700.0,8848.0,8575.0,8642.5,60087,0.0,0.0
2025-10-24 00:00:00+05:30,8735.0,8820.0,8659.0,8733.5,42387,0.0,0.0
2025-10-27 00:00:00+05:30,8749.0,9051.0,8725.0,8991.0,134959,0.0,0.0
2025-10-28 00:00:00+05:30,9100.0,9193.0,8951.0,9107.5,163237,0.0,0.0
2025-10-29 00:00:00+05:30,9291.0,9600.0,8926.5,9462.0,713038,0.0,0.0
2025-10-30 00:00:00+05:30,9585.0,9585.0,9195.0,9251.5,168767,0.0,0.0
2025-10-31 00:00:00+05:30,9248.0,9300.0,8622.0,8671.0,299900,0.0,0.0
2025-11-03 00:00:00+05:30,8676.0,8829.0,8350.0,8539.5,169961,0.0,0.0
2025-11-04 00:00:00+05:30,8540.0,8550.0,8293.5,8338.5,88204,0.0,0.0
2025-11-06 00:00:00+05:30,8352.0,8500.0,8330.0,8404.0,43930,0.0,0.0
2025-11-07 00:00:00+05:30,8415.0,8438.5,8221.0,8280.5,78195,0.0,0.0
2025-11-10 00:00:00+05:30,8270.0,8326.0,8202.0,8280.0,36161,0.0,0.0
